Directorio;Bogota;Secuencia_encuesta;Habitante;Secuencia_p;ORDEN;FEX_C;P6016;P1894;P6020;P6034;P6040;P6051;P5502;P6071;P6071S1;P756;P756S1;P756S2;P756S3;P6074;P755;P755S1;P755S2;P755S3;P754;P753;P753S1;P753S2;P753S3;P752;P1662;P6081;P6081S1;P6087;P6083;P6083S1;P6088;P6080;P5667;P2057;P2059;P2061;P1895;P1896;P1897;P1898;P1899;P3175;P1901;P1903;P1904;P1905;P1927
7567439;7567439;1;7567439-1;1;1;20.014.693.005;1;3;1;1;30;1;2;2;;2;73;73168;;2;4;;;2;;2;;;;1;;2;;4;2;;4;6;;2;2;2;10;3;10;5;8;10;10;0;0;10;8
7567440;7567440;1;7567440-1;1;1;14.980.488.607;1;3;1;1;68;1;6;1;2;2;15;15215;;2;2;;;;1;2;;;;1;;2;;9;2;;9;6;;1;;1;10;10;5;0;10;10;10;8;3;10;9
7567440;7567440;2;7567440-2;1;2;14.980.488.607;2;3;2;1;66;2;6;1;1;2;15;15176;;2;2;;;;1;2;;;;1;;2;;2;2;;9;6;;1;;1;9;0;0;5;4;4;3;3;10;10;4
7567440;7567440;3;7567440-3;1;3;14.980.488.607;3;3;2;1;28;3;5;;;1;;;;1;;;;;;;;;;;;1;1;;1;2;;6;;2;2;2;10;10;9;5;10;7;8;8;0;10;9
7567440;7567440;4;7567440-4;1;4;14.980.488.607;3;2;1;1;12;4;5;;;1;;;;1;;;;;;;;;;;;2;;4;1;3;;6;;;;;;;;;;;;;;;
7567441;7567441;1;7567441-1;1;1;15.986.531.057;1;4;2;1;81;1;3;;;3;;;9;;2;;;;1;2;;;;1;;3;;8;2;;8;6;;2;2;2;10;10;10;0;5;10;10;0;0;10;6
7567442;7567442;1;7567442-1;1;1;21.305.020.979;1;3;1;1;38;1;6;1;2;1;;;;1;;;;;;;;;;;;2;;8;2;;8;6;;2;2;2;10;8;10;5;8;8;9;0;0;8;7
7567442;7567442;2;7567442-2;1;2;21.305.020.979;2;3;2;1;33;2;6;1;1;2;8;8001;;2;3;8;8001;;1;2;;;;1;;3;;10;2;;3;6;;2;2;2;10;10;10;10;10;10;10;3;0;10;10
7567442;7567442;3;7567442-3;1;3;21.305.020.979;2;1;2;1;2;3;;;;1;;;;1;;;;;;;;;;;;1;1;;1;2;;6;;;;;;;;;;;;;;;
7569259;7569259;1;7569259-1;1;1;1.907.443.863;1;3;1;1;32;1;5;;;2;25;25754;;2;3;54;54518;;1;2;;;;1;;2;;2;2;;8;6;;2;2;2;6;6;7;5;7;2;6;4;0;1;6
7569259;7569259;2;7569259-2;1;2;1.907.443.863;2;3;2;1;26;7;5;;;2;15;15757;;2;3;15;15757;;1;2;;;;1;;2;;2;2;;8;6;;9;;2;7;0;10;6;0;0;8;10;6;6;6
7569259;7569259;3;7569259-3;1;3;1.907.443.863;3;1;1;1;6;9;;;;1;;;;2;2;;;;1;3;15;15238;;1;3;2;;7;1;2;;6;;;;;;;;;;;;;;;
7569260;7569260;1;7569260-1;1;1;17.762.812.285;1;3;2;1;59;1;6;2;;1;;;;1;;;;;;;;;;;;3;;8;2;;4;6;;2;2;2;10;10;8;3;10;10;10;8;1;10;10
7569261;7569261;1;7569261-1;1;1;14.342.601.879;1;3;2;1;55;1;5;;;1;;;;2;2;;;;1;2;;;;1;;3;;10;1;4;;6;;2;2;2;3;0;5;6;0;5;4;7;7;6;2
7569261;7569261;2;7569261-2;1;2;14.342.601.879;1;3;2;1;24;3;5;;;1;;;;1;;;;;;;;;;;;2;;3;1;1;;6;;2;2;2;6;4;6;8;7;6;7;3;2;8;6
7569261;7569261;3;7569261-3;1;3;14.342.601.879;3;2;1;1;17;3;5;;;1;;;;1;;;;;;;;;;;;2;;3;1;1;;6;;2;2;2;8;8;10;10;7;6;8;0;0;10;6
7569261;7569261;4;7569261-4;1;4;14.342.601.879;4;3;2;1;87;5;3;;;2;25;25772;;2;2;;;;1;2;;;;1;;3;;10;3;;10;6;;1;;2;7;5;7;5;6;8;5;7;7;6;4
7569261;7569261;5;7569261-5;1;5;14.342.601.879;5;3;1;1;48;7;5;;;1;;;;1;;;;;;;;;;;;3;;10;1;4;;6;;2;1;2;7;7;8;9;5;5;8;5;2;9;7
7569262;7569262;1;7569262-1;1;1;81.540.568.009;1;3;1;1;49;1;6;1;2;2;68;68081;;2;2;;;;1;2;;;;1;;2;;8;3;;4;6;;2;2;2;7;8;3;4;8;5;7;6;1;10;8
7569262;7569262;2;7569262-2;1;2;81.540.568.009;2;3;2;1;46;2;6;1;1;1;;;;1;;;;;;;;;;;;3;;1;1;5;;6;;2;1;2;10;7;9;9;8;8;10;6;0;10;10
7569262;7569262;3;7569262-3;1;3;81.540.568.009;3;2;2;1;16;3;5;;;1;;;;1;;;;;;;;;;;;1;1;;1;2;;6;;2;2;2;7;99;7;7;0;9;10;8;2;8;8
7569262;7569262;4;7569262-4;1;4;81.540.568.009;4;2;2;1;16;3;5;;;1;;;;1;;;;;;;;;;;;1;1;;1;2;;6;;2;2;2;8;99;8;6;0;10;9;2;0;9;8
7569262;7569262;5;7569262-5;1;5;81.540.568.009;5;3;2;1;73;6;3;;;2;68;68861;;2;2;;;;1;3;25;25040;;1;3;3;;9;3;;9;6;;1;;2;10;8;7;8;9;10;10;2;0;10;10
