DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1079;P9010;P9025;P9025S1;P9025S2;P5230;P9090;P784;P784S1;P784S1A1;P784S1A2;P784S2;P784S2A1;P784S2A2;P784S5;P784S5A1;P784S5A2;P784S4;P784S4A1;P1072;P1072S1;P1072S2;P1077;P1077S1;P1077S2;P1077S3;P1077S4;P1077S5;P1077S6;P1077S27;P1077S7;P1077S8;P1077S9;P1077S10;P1077S11;P1077S12;P1077S13;P1077S14;P1077S15;P1077S15A1;P1077S16;P1077S16A1;P1077S17;P1077S18;P1077S19;P1077S20;P1077S21;P1077S21A1;P1077S22;P1077S22A1;P1077S23;P1077S23A1;P1076;P1075;P1075S1;P1075S2;P3199;P1074;P795;P795S1;P795S1A1;P795S1A2;P795S2;P795S3;P795S4;P3201;P1913;P1913S1;P1913S2;P1913S3;P1913S10;P1913S9;P1913S5;P1913S6;P1913S7;P1913S11;P1913S12;P1913S8;P1913S13;P3202;P3202S1;P3202S2;P3202S3;P3202S4;P3202S5;P3202S6;P3202S7;P3202S8;P3202S9;P3202S10;P3202S11;P3202S12;P3203;P3203S1;P3203S2;P3203S3;P3203S4;P3203S5;P3203S6;P3203S7;P3203S8;P3203S9;P3203S10;P3203S11;P3203S12;P3203S13;P3203S14;P3353;P3354;P3355;P3356;P3357;P3358
7567439;1;1;1;20.014.693.005;1;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;200;;1;1;1;2;2;1;1;2;1;2;1;2;2;2;2;2;;2;;1;2;2;2;2;;2;;2;;3;1;1;2;1;;;1;2;1;;;;;;12;15;30;7;7;16;5;3;40;5;17;;;;;;;;;;1;;;;;;;;1;;;;;;;;;1;;;2;3;4;2;1;3
7567440;1;1;1;14.980.488.607;1;2;;2;2;2;2;;2;;;2;;;2;;;2;;;3;200;;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;2;;1;1;1;2;1;1;1;1;1;1;;1;1;1;1;;;;;;1;;;1;;7;10;60;3;60;7;2;1;15;3;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;3;2;2
7567441;1;1;1;15.986.531.057;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;1;1;2;;2;2;1;2;2;;1;1;1;1;;1;1;2;1;;;;;;1;;;1;;0;0;30;15;0;5;5;5;10;0;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;3;4;3;3
7567442;1;1;1;21.305.020.979;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;250;;1;1;1;1;1;1;1;2;1;2;1;2;2;1;2;1;3;2;;2;2;1;1;2;;1;1;2;;;1;1;2;1;;;;;;;1;;1;;25;5;40;10;90;1;4;1;30;14;10;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;2;3;4;2;1;1
7569259;1;1;1;1.907.443.863;1;2;;1;2;1;2;;2;;;2;;;2;;;2;;;3;0;;2;2;1;2;2;1;1;2;2;2;2;2;2;1;2;2;;2;;1;2;2;2;2;;1;2;2;;;1;1;1;1;;;;;;;;;;;0;10;60;10;10;20;10;2;40;20;20;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;5;3;2;1;3;3
7569260;1;1;1;17.762.812.285;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;2;1;1;1;1;1;2;2;1;2;2;2;2;2;2;1;1;2;;2;2;2;2;1;1;1;1;2;;;1;1;2;1;;;1;1;2;;;;;;0;2;30;30;30;3;6;6;30;3;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;4;1;2
7569261;1;1;1;14.342.601.879;1;2;;1;2;1;2;;2;;;2;;;2;;;2;;;7;0;;1;1;1;2;2;1;1;2;1;2;2;2;2;2;2;2;;1;1;1;2;2;2;1;1;1;2;2;;;1;1;1;1;;;1;2;1;;;;;;10;15;30;5;60;20;10;1;30;30;15;;;1;;;;;;;1;;1;1;;;;;;1;1;;;;;1;;;;;4;3;4;4;3;3
7569262;1;1;1;81.540.568.009;1;1;;2;2;1;1;;2;;;2;;;2;;;2;;;6;0;;1;1;1;1;1;1;2;1;1;1;1;2;2;2;2;2;;2;;2;2;1;2;2;;2;;2;;4;1;2;1;;;;;;;1;;;2;;5;12;25;10;15;20;4;10;30;12;10;;;1;1;;;;;;;;1;1;;;;;;;1;;;;;1;;1;;;2;2;2;2;1;1
7574885;1;1;1;1.620.231.714;1;2;;2;2;1;2;;2;;;2;;;2;;;2;;;8;0;;1;1;1;1;1;2;1;1;1;2;1;2;2;2;1;1;1;2;;2;2;1;2;1;1;1;1;2;;;1;1;1;1;;;;;;1;;;1;;5;10;10;5;5;10;5;10;15;10;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;4;4;4;2;3
7574886;1;1;1;15.736.085.789;2;1;;2;2;2;2;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;2;1;2;1;1;2;;1;3;1;1;;1;1;1;1;;;;;;;1;;1;;7;10;40;4;60;30;5;5;40;30;30;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;2;2;4;3;2;2
7574887;1;1;1;17.853.101.367;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;2;1;1;2;1;2;2;2;2;1;2;1;1;2;;2;2;1;1;2;;1;1;1;1;;1;1;2;1;;;;;;1;;;2;;10;8;5;5;0;10;5;10;20;15;5;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2;4;4;2;2
7574888;1;1;1;11.174.192.489;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;2;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;2;;1;1;1;1;1;1;1;3;1;1;;1;1;1;1;;;;;;1;;;1;;2;2;10;1;5;10;1;2;30;30;5;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;2;1;4;2;1;2
7574889;1;1;1;13.322.109.214;1;1;;1;2;2;3;;2;;;2;;;2;;;2;;;0;250;;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;;2;;2;2;2;2;2;;1;1;2;;;1;1;1;1;;;1;1;2;;;;;;10;0;25;5;60;25;10;15;15;120;30;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;3;4;3;2;2
7574890;1;1;1;15.015.398.686;1;1;;2;2;2;3;;2;;;2;;;2;;;2;;;0;0;;1;1;1;1;1;1;1;2;1;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;;1;1;2;;;1;1;1;1;;;;;;1;;;1;;10;3;60;2;60;20;3;3;15;10;15;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;3;2;4;2;2;2
