DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P1_DEPARTAMENTO;REGION;CLASE;FEX_C;CANT_HOG_COMPLETOS;CANT_HOGARES_VIVIENDA;P2102;P3155;P3156;P1070;P4005;P4015;P4567;P8520;P8520S1;P8520S1A1;P8520S5;P8520S3;P8520S4;P8520S4A1;P4065;P4065S1;P4065S2;P4065S3;P4065S4;P4065S5;P5661;P5661S1;P5661S2;P5661S3;P5661S4;P5661S9;P5661S5;P5661S6;P5661S7;P3157;P3157S1;P3157S2;P3157S3;P3157S4;P3158;P3159;P3159S1;P3159S2
7567439;1;1;1;11;5;1;2001,469301;1;1;1;;1;1;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;2;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7567440;1;1;1;11;5;1;1498,048861;1;1;4;1;1;1;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;3;2;3;1;1;3;3;3;;2;2;1;1;2;2;;
7567441;1;1;1;11;5;1;1598,653106;1;1;2;1;1;2;1;4;1;;1;6;1;1;1;3;;2;2;2;2;2;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7567442;1;1;1;11;5;1;2130,502098;1;1;4;1;1;2;1;4;1;;1;6;1;1;1;3;;2;2;2;2;2;;2;1;1;1;1;1;1;1;;2;2;1;2;2;2;;
7569259;1;1;1;11;5;1;1907,443863;1;1;4;1;1;1;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;1;1;1;1;1;4;1;1;;1;1;1;1;2;2;;
7569260;1;1;1;11;5;1;1776,281229;1;1;4;1;1;2;1;2;1;;1;6;1;1;1;2;;2;2;2;2;2;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7569261;1;1;1;11;5;1;1434,260188;1;1;1;;1;2;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;3;1;2;1;1;2;1;1;;1;1;1;1;2;2;;
7569262;1;1;1;11;5;1;815,4056801;1;1;4;1;1;2;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;2;2;1;1;2;1;1;2;;1;1;2;1;2;2;;
7574885;1;1;1;11;5;1;1620,231714;1;1;4;1;1;1;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;1;2;2;2;1;1;2;1;;1;2;2;2;2;2;;
7574886;1;1;1;11;5;1;1573,608579;1;1;4;1;1;1;1;4;1;;1;4;1;1;1;3;;2;2;2;2;2;;1;1;1;2;1;1;1;1;;2;2;2;2;2;2;;
7574887;1;1;1;11;5;1;1785,310137;1;1;2;1;1;2;1;2;1;;1;4;1;1;1;3;;2;2;2;2;2;;3;2;4;4;1;2;1;2;;2;2;1;2;2;2;;
7574888;1;1;1;11;5;1;1117,419249;1;1;4;1;1;2;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;2;2;1;1;1;1;1;1;;1;2;1;2;2;1;1;
7574889;1;1;1;11;5;1;1332,210921;1;1;4;1;1;1;1;4;1;;1;4;1;1;1;1;;2;2;2;2;2;;1;2;2;2;2;1;2;1;;2;2;2;2;2;1;1;
7574890;1;1;1;11;5;1;1501,539869;1;1;4;1;1;1;1;4;1;;1;4;1;1;1;3;;2;2;2;2;2;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7574891;1;1;1;11;5;1;1504,627668;1;1;4;1;1;1;1;4;1;;1;3;1;1;1;3;;2;2;2;2;2;;2;1;4;3;2;2;1;3;;2;2;2;2;2;2;;
7574892;1;1;1;11;2;2;14,59512634;1;1;3;1;;1;1;4;3;;1;2;1;1;1;1;;2;2;2;2;2;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7576531;1;1;1;11;5;1;1846,305491;1;1;4;1;1;2;1;2;1;;1;6;1;1;1;2;;2;2;2;2;2;;1;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7576532;1;1;1;11;5;1;2263,330721;1;1;4;1;1;1;1;4;1;;1;4;1;1;1;3;;2;2;2;2;2;;2;1;1;1;1;1;1;1;;2;2;2;2;2;2;;
7576533;1;1;1;11;5;1;1438,787795;1;1;4;1;1;2;1;4;1;;1;4;1;1;1;3;;2;2;2;2;2;;2;1;1;1;1;1;1;1;;1;2;2;2;2;1;1;
7576534;1;1;1;11;5;1;2196,53802;1;1;2;1;1;2;1;5;1;;1;3;1;1;1;3;;2;2;2;2;2;;3;1;1;2;1;2;1;1;;2;2;2;2;2;2;;
