DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6160;P8586;P6218;P8587;P8587S1;P6211;P1088;P1088S1;P6216;P5673;P5674;P6223;P1101;P3336;P3336S1;P3336S2;P3336S3;P3336S4;P3336S5;P3336S6;P3336S7;P4693;P6167;P6180;P6180S1;P6180S2;P3337;P3337S1;P3338;P3339;P3339S1;P3339S2;P3339S3;P3339S4;P3339S5;P3339S6;P3340;P3341;P3341S1;P3342;P3342S1;P3343;P3343S1;P3344;P3344S1;P3345;P3345S1;P3346;P3346S1;P3347;P3347S1;P3348;P3348S1;P8610;P8610S1;P8610S2;P6229;P8612;P8612S1;P8612S2;P6238;P8614;P8614S1;P8614S2;P6202;P3192;P781;P781S1;P781S2;P782;P783;P3004;P3004S1;P3004S2;P3004S3;P3004S4;P3004S5;P3004S6;P3004S7;P3004S8;P3349;P3350;P3350S1;P3350S2;P3350S3;P3350S4;P3350S5;P3350S6;P3350S7;P3351;P3351S1;P3352;P3352S1;P3352S2;P3352S3;P3352S4;P3352S5;P3352S6
7567439;1;1;1;20.014.693.005;1;2;2;7;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7567440;1;1;1;14.980.488.607;1;2;;9;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7567440;2;1;2;14.980.488.607;1;2;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7567440;3;1;3;14.980.488.607;1;2;9;11;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7567440;4;1;4;14.980.488.607;1;1;;;;;2;5;;2;2;1;4;;2;2;1;2;2;2;2;4;10;2;;;1;5;1;;1;1;2;1;2;2;6;1;250000;1;1500000;1;1500000;1;162500;2;;1;150000;2;;2;;2;;;;2;;;;2;;;;2;1;2;;;;;;;;;;1;1;;1;;2;2;1;2;2;2;2;1;5;;2;1;2;1;2;2
7567441;1;1;1;15.986.531.057;1;2;;11;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7567442;1;1;1;21.305.020.979;1;2;;13;2;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7567442;2;1;2;21.305.020.979;1;2;17;11;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569259;1;1;1;1.907.443.863;1;2;2;11;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569259;2;1;2;1.907.443.863;1;2;3;10;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569259;3;1;3;1.907.443.863;1;1;;;;;1;3;;1;;1;1;;2;2;1;1;1;2;1;4;10;1;0;3000;1;5;1;;2;1;1;1;1;2;6;2;;1;300000;1;150000;2;;2;;2;;1;30000;1;40000;2;;;;2;;;;2;;;;3;1;2;;;;;;;1;;1;1;1;;1;;2;1;2;1;1;2;1;1;5;;2;1;1;1;1;2
7569260;1;1;1;17.762.812.285;1;2;;13;2;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569261;1;1;1;14.342.601.879;1;2;;5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569261;2;1;2;14.342.601.879;1;1;;;;;7;3;3;2;;1;;;2;2;1;;;;;3;60;2;;;;;;;;;;;;;;1;3600000;2;;2;;;;;;;;1;100000;2;;2;;;;2;;;;2;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569261;3;1;3;14.342.601.879;1;1;;;;;4;11;;1;;1;4;;2;2;1;2;2;2;2;3;90;1;0;6000;1;3;3;;2;1;1;2;1;2;2;2;;2;;2;;2;;2;;2;;2;;2;;2;;;;2;;;;2;;;;3;1;1;;;;;;;;;1;;1;;1;;2;1;2;1;2;2;2;1;5;;2;1;2;1;1;2
7569261;4;1;4;14.342.601.879;1;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569261;5;1;5;14.342.601.879;1;2;;7;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569262;1;1;1;81.540.568.009;1;2;;10;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569262;2;1;2;81.540.568.009;1;2;;5;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7569262;3;1;3;81.540.568.009;1;1;;;;;3;8;;1;;1;4;;2;1;2;2;2;2;2;;;;;;1;1;2;;1;1;2;1;1;2;3;2;;2;;1;80000;2;;2;;2;;1;15000;2;;2;;;;2;;;;2;;;;3;1;1;;;;;1;;;;1;;;;2;;;;;;;;;;;;;;;;;
7569262;4;1;4;81.540.568.009;1;1;;;;;3;8;;1;;1;4;;2;1;2;2;2;2;2;;;;;;1;1;2;;1;1;2;1;2;2;4;2;;2;;1;80000;2;;2;;2;;2;;2;;2;;;;2;;;;2;;;;3;1;3;;;;;1;;;;1;1;;;2;;;;;;;;;;;;;;;;;
7569262;5;1;5;81.540.568.009;1;2;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7574885;1;1;1;1.620.231.714;1;2;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7574885;2;1;2;1.620.231.714;1;2;;13;2;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7574885;3;1;3;1.620.231.714;1;1;;;;;3;6;;2;2;1;4;;2;1;2;1;2;2;2;;;;;;1;5;1;;2;1;2;1;2;2;6;1;3200000;2;;1;250000;1;2080000;2;;1;150000;1;50000;2;;2;;;;2;;;;2;;;;2;1;2;;;;;;;;;1;;1;;1;;1;2;2;1;2;2;2;1;5;;2;1;2;1;2;2
