DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P6230;P6240;P6250;P6260;P6270;P6280;P6300;P6320;P6330;P6340;P6351;P6370S2;P6390S2;P6435;P6440;P6450;P6460;P6460S1;P6990;P6426;P8622;P8624;P6595;P6595S1;P6605;P6605S1;P6623;P6623S1;P6615;P6615S1;P8626;P8626S1;P8628;P8628S1;P8630;P8630S1;P8631;P8631S1;P1087;P1087S1;P1087S1A1;P1087S2;P1087S2A1;P1087S3;P1087S3A1;P1087S4;P1087S4A1;P1087S5;P1087S5A1;P6750;P550;P8632;P8634;P6885;P6886;P415;P416;P6830;P3193;P3193S1;P3193S2;P3193S3;P3193S4;P8636;P8636S1;P7250;P7310;P7270S2;P8640;P8640S1;P6920;P6935;P8642;P8642S1;P8644;P8644S1;P8646;P8646S1;P8648;P8648S1;P8650;P8650S1;P8650S1A1;P8652;P8652S1;P8654;P8654S1;P421;P421S2;P421S2A1
7567439;1;1;1;20.014.693.005;1;1;;;;;;;;;;2;3030;1;;2;2;24;1;12;1;908526;2;;2;;2;;2;;2;;2;;2;;2;;;2;;2;;2;;2;;2;;;;9;1;12;90;48;48;;2;;;;;2;;;;;;;2;;2;;2;;2;;2;;1;2;200000;2;;2;;;;
7567440;1;1;1;14.980.488.607;1;6;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;3;;1;900000;2;;2;;2;;2;;;2;;2;;;;
7567440;2;1;2;14.980.488.607;2;4;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;2;;2;;2;;2;;2;;;2;;2;;;;
7567440;3;1;3;14.980.488.607;3;1;;;;;;;;;;21;8220;1;;2;1;;1;120;1;4000000;2;;2;;2;;2;;2;;2;;2;;2;;;2;;1;4000000;2;;2;;2;;;;9;2;;;60;60;;1;2;1;2;2;2;;;;;;;1;1;2;;2;;2;;2;;2;;;2;;2;;;;
7567440;4;1;4;14.980.488.607;4;3;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;2;;2;;2;;2;;;2;;2;;;2;
7567441;1;1;1;15.986.531.057;1;4;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;1;4000000;2;;2;;2;;2;;;2;;2;;;;
7567442;1;1;1;21.305.020.979;1;1;;;;;;;;;;12;8412;2;;2;1;;1;60;2;14000000;2;;2;;2;;2;;2;;2;;2;;1;2500000;;1;20000000;1;14000000;1;3000000;1;14000000;2;;;;9;1;8;40;48;48;;1;1;2;2;2;2;;;;;;;1;1;2;;2;;2;;2;;2;;;2;;1;1000000;;;
7567442;2;1;2;21.305.020.979;2;1;;;;;;;;;;21;8621;1;;2;1;;1;60;1;2350000;2;;2;;2;;2;;2;;2;;2;;2;;;2;;2;;2;;2;;2;;;;9;1;8;40;48;48;;2;;;;;2;;;;;;;1;1;2;;2;;2;;2;;2;;;2;;1;1425000;;;
7569259;1;1;1;1.907.443.863;1;1;;;;;;;;;;2;7110;1;;2;1;;1;24;1;2200000;2;;2;;2;;2;;2;;1;200000;2;;2;;;2;;2;;2;;2;;2;;;;9;9;5;120;84;84;;2;;;;;2;;;;;;;1;1;2;;2;;2;;2;;2;;;2;;2;;;;
7569259;2;1;2;1.907.443.863;2;2;2;2;2;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;2;21;2;;2;;2;;1;250000;2;;2;;1;2;300000;2;;2;;;;
