DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P1910;P1911;P1912;P1710;P1710S1;P1710S2;P1710S3;P1710S4;P1710S5;P1710S6;P1710S7;P1710S8;P1710S9;P1084;P765;P765S1;P765S2;P765S3;P765S4;P765S5;P765S6;P765S7;P765S8;P1085;P1085S1;P1085S2;P1085S3;P1085S4;P1085S5;P1085S6;P1085S7;P1085S8;P1083;P1083S1;P1083S2;P1083S3;P1083S4;P1083S5;P1083S6;P1083S7;P1083S8;P1083S9;P1083S10;P1083S12;P1083S13;P1083S14;P1083S15;P1083S11;P1929;P1082;P1082S1;P1082S2;P803;P803S1;P5504;P5505;P5505S1;P5505S2;P769;P1080;P1080S1;P1080S2;P1080S3;P1080S4;P1080S5;P1080S6;P804;P805;P805S1;P805S2;P805S3;P805S4;P805S5
7567439;1;7567439-1;7567439-1;1;1;20.014.693.005;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;1;;;;1;;;;1;1;1;;1;;;;1;;;;;;;;1;2;1;2;;;;;;1;;1;1;1;1;;;1;;1;1;1;;
7567440;1;7567440-1;7567440-1;1;1;14.980.488.607;1;5;5;;1;1;1;1;2;1;1;2;2;1;;1;;;1;;;;;;1;1;;;;;;;;1;1;1;;;;1;;;1;;;;;;;1;2;1;1;45000;;;;;1;;1;1;1;1;;;5;;;;;;
7567440;2;7567440-2;7567440-2;1;2;14.980.488.607;5;5;5;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;2;2;;;;;;1;;1;;1;;;;5;;;;;;
7567440;3;7567440-3;7567440-3;1;3;14.980.488.607;1;1;5;;1;1;1;1;1;1;1;1;2;1;;1;1;;1;;;;;;1;;;;;;;;;;1;1;;1;;;;1;;;;;1;;;1;2;1;1;65000;;;;;1;;1;1;1;1;;;5;;;;;;
7567440;4;7567440-4;7567440-4;1;4;14.980.488.607;5;1;5;;1;1;1;1;2;1;1;1;2;1;;;1;;;1;1;;;;1;;;;;;;;;;1;;;;1;;;;;;;;;;;1;2;1;2;;;;;;2;;1;;;;;;5;;;;;;
7567441;1;7567441-1;7567441-1;1;1;15.986.531.057;5;5;5;;;;;;;;;;;1;;;;;1;;;;;;1;;;;;;;;;;;1;;1;;;;;;;;;;;;1;2;1;1;88000;;;;;1;;1;;1;1;;;5;;;;;;
7567442;1;7567442-1;7567442-1;1;1;21.305.020.979;5;1;5;;1;1;1;1;2;2;2;2;2;1;;;1;;1;;;;;;1;1;;;;;;;;1;1;1;1;1;1;1;;1;1;1;;;1;;;1;2;1;1;160000;;;;;1;;1;;1;1;;;5;;;;;;
7567442;2;7567442-2;7567442-2;1;2;21.305.020.979;5;1;5;;1;1;1;2;1;2;1;2;2;1;;;1;;1;;;;;;1;1;;;;;;;;;1;1;1;1;1;;;;;;;;1;;;1;2;1;1;30000;;;;;1;;1;;1;1;;;5;;;;;;
7569259;1;7569259-1;7569259-1;1;1;1.907.443.863;1;1;5;;1;1;1;1;1;1;1;1;2;1;;;1;;1;;;;;;1;1;;;;;1;;;1;1;1;1;1;1;1;1;1;1;;1;;1;;;1;2;1;1;50000;;;;;1;;1;1;1;1;;;1;;1;1;;;
7569259;2;7569259-2;7569259-2;1;2;1.907.443.863;5;1;5;;1;1;1;1;1;1;1;1;2;1;;;1;;1;;;1;;;1;;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;;;;;1;2;1;1;20000;;;;;1;;1;1;1;1;;;1;;1;1;1;;
