DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P5095;P5100;P3194;P3195;P3196;P3196S1;P3196S2;P3196S3;P3196S4;P3196S5;P3196S6;P3196S7;P3196S8;P3196S9;P3196S10;P3197;P3198;P5120;P8692;P8692S1A1;P8692S2;P5610;P5610S1;P8693;P5110;P5130;P5140;P3006;P5650;P5160;P5160S1;P5160S1A1;P5160S2;P5160S2A1
7567439;1;1;1;20.014.693.005;3;;;;;;;;;;;;;;;;;;;;;;;;;;600000;2;0;2;;;;
7567440;1;1;1;14.980.488.607;1;;1979;;;;;;;;;;;;;2;;1;2;;2;1923000;1;98;500000000;800000;;;0;2;;;;
7567441;1;1;1;15.986.531.057;1;;2015;110000000;;;;;;;;;1;;;1;250000;1;1;1;;9500000;1;0;12000000;1500000;;;1000000;2;;;;
7567442;1;1;1;21.305.020.979;3;;;;;;;;;;;;;;;;;;;;;;;;;;3000000;1;669000;2;;;;
7569259;1;1;1;1.907.443.863;3;;;;;;;;;;;;;;;;;;;;;;;;;;400000;1;0;2;;;;
7569260;1;1;1;17.762.812.285;3;;;;;;;;;;;;;;;;;;;;;;;;;;2800000;2;640000;2;;;;
7569261;1;1;1;14.342.601.879;3;;;;;;;;;;;;;;;;;;;;;;;;;;1100000;1;0;2;;;;
7569262;1;1;1;81.540.568.009;1;;1981;;;;;;;;;;;;;2;;2;;;;4000000;1;99;800000000;1200000;;;0;2;;;;
7574885;1;1;1;1.620.231.714;1;;1981;;;;;;;;;;;;;2;;1;1;1;;99;1;98;900000000;1000000;;;0;2;;;;
7574886;1;1;1;15.736.085.789;2;1900000;2011;;;;;;;;;;;;;1;80000;1;1;1;;1800000;1;1800000;450000000;2000000;;;180000;2;;;;
7574887;1;1;1;17.853.101.367;3;;;;;;;;;;;;;;;;;;;;;;;;;;1600000;2;200000;2;;;;
7574888;1;1;1;11.174.192.489;4;;;;;;;;;;;;;;;;;;;;;;;;;2000000;;;0;2;;;;
7574889;1;1;1;13.322.109.214;1;;2006;;;;;;;;;;;;;2;;1;1;1;;98;1;1800000;620000000;2000000;;;180000;2;;;;
7574890;1;1;1;15.015.398.686;3;;;;;;;;;;;;;;;;;;;;;;;;;;2300000;2;0;2;;;;
7574891;1;1;1;15.046.276.682;1;;1945;;;;;;;;;;;;;2;;1;1;1;;1500000;1;1500000;300000000;300000;;;0;2;;;;
7574892;1;1;1;14.595.126.339;3;;;;;;;;;;;;;;;;;;;;;;;;;;700000;2;0;2;;;;
7576531;1;1;1;18.463.054.912;3;;;;;;;;;;;;;;;;;;;;;;;;;;4000000;2;99;2;;;;
7576532;1;1;1;22.633.307.205;4;;;;;;;;;;;;;;;;;;;;;;;;;1700000;;;0;2;;;;
7576533;1;1;1;14.387.877.951;1;;2010;;;;;;;;;;;;;2;;1;3;;;700000;1;0;230000000;1200000;;;136000;2;;;;
7576534;1;1;1;21.965.380.198;3;;;;;;;;;;;;;;;;;;;;;;;;;;2100000;2;300000;2;;;;
7576535;1;1;1;13.986.739.576;1;;2010;;;;;;;;;;;;;1;45000;1;2;;2;920000;1;0;280000;1100000;;;152000;2;;;;
7576536;1;1;1;12.436.321.887;1;;1986;;;;;;;;;;;;;1;50000;1;2;;2;2300000;1;2535000;750000000;2000000;;;180000;2;;;;
7576537;1;1;1;12.591.284.827;3;;;;;;;;;;;;;;;;;;;;;;;;;;1300000;2;0;2;;;;
7576538;1;1;1;14.610.203.784;3;;;;;;;;;;;;;;;;;;;;;;;;;;650000;2;0;1;1;275000;2;
