DIRECTORIO,CLASE,CANT_HOGARES_VIVIENDA,via_acceso,tipo_vivienda,material_vivienda,pisos,cubierta,tiene_electricidad,estrato,acueducto1,alcantarillado,recoleccion_basuras,inundaciones,avalanchas,hundimiento_terreno,ventarrones,sismos,malos_olores,presencia_basuras,contaminacion_aire,contaminacion_rios,invasion_esp_pub,presencia_animales,presencia_insectos_roedores
7567439,1,1,1,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
7567440,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,3,2,3,1,1,3,3
7567441,1,1,2,2,1,4,1,1,6.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7567442,1,1,4,2,1,4,1,1,6.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
7569259,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,1,1,1,1,1,4,1
7569260,1,1,4,2,1,2,1,1,6.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7569261,1,1,1,2,1,4,1,1,3.0,1,1,1,2,2,2,2,2,3,1,2,1,1,2,1
7569262,1,1,4,2,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,2,1,1,2,1,2
7574885,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,1,2,2,2,1,1,1
7574886,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1
7574887,1,1,2,2,1,2,1,1,4.0,1,1,1,2,2,2,2,2,3,2,4,4,1,2,2
7574888,1,1,4,2,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1
7574889,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,2,2,2,2,1,1
7574890,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7574891,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,1,4,3,2,2,3
7574892,2,1,3,1,1,4,3,1,2.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7576531,1,1,4,2,1,2,1,1,6.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7576532,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
7576533,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
7576534,1,1,2,2,1,5,1,1,3.0,1,1,1,2,2,2,2,2,3,1,1,2,1,2,1
7576535,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
7576536,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,3,2,1,2,1
7576537,1,1,4,2,1,4,1,1,3.0,1,1,1,2,2,2,2,2,4,2,2,1,1,1,1
7576538,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1
7576539,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,3,1,2,1,1,2,2
7576540,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1
7576541,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,3,2,2,2,1,1,1
7576542,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2
7576543,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,1,2,2,1,1,1
7576544,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,3,2,1,1,1
7576545,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,3,3,1,2,1
7576546,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7576547,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,3,3,1,2,2
7576548,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,4,1,4,4,1,4,1
7576549,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,4,3,4,1,1,1,1
7576550,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1
7576551,1,1,2,1,1,6,3,1,1.0,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2
7576552,1,1,2,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,1,1,1,2,1
7576553,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1
7576554,1,1,2,1,1,4,1,1,1.0,1,1,1,2,2,2,2,2,1,2,2,2,1,1,4
7576555,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1
7576556,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,2,1,1,1,1,1
7576557,1,1,4,2,1,4,1,1,4.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
7576558,1,1,2,2,1,4,1,1,2.0,1,1,1,2,2,2,2,2,4,2,3,2,1,4,4
7576559,2,1,4,1,1,4,3,1,2.0,1,2,1,2,2,2,2,2,1,2,2,1,1,1,2
7576564,2,1,4,1,1,4,3,1,2.0,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2
7576567,2,1,4,1,1,4,3,1,1.0,1,2,1,2,2,2,2,2,1,2,1,1,2,1,1
7576568,2,1,1,1,9,7,4,1,1.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
7576569,2,1,4,1,1,4,3,1,1.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
7576570,2,1,1,1,1,3,4,1,1.0,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1
7576571,2,1,1,1,6,6,3,1,1.0,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1
7576572,2,1,1,1,5,6,3,1,1.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
7576574,2,1,4,1,1,5,4,1,0.0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
7576575,2,1,4,1,6,6,4,1,1.0,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1
7576576,2,1,4,1,1,6,4,1,1.0,2,2,1,2,2,2,2,2,1,2,1,1,2,1,1
7576579,2,1,4,1,1,4,3,1,1.0,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1
7576580,2,1,1,1,1,4,4,1,1.0,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1
7576582,2,1,4,1,6,6,3,1,1.0,2,2,1,2,2,2,2,2,1,2,2,1,1,1,2
7576583,2,1,4,1,1,6,3,1,2.0,1,2,1,2,2,2,2,2,1,3,1,1,1,1,1
7576584,2,1,1,1,1,3,4,1,1.0,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1
7576585,2,1,1,1,1,7,4,1,1.0,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1
7576586,2,1,4,1,1,7,4,1,2.0,1,2,1,2,2,2,2,2,1,2,1,1,1,1,1
7576587,2,1,4,1,1,6,4,1,2.0,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1
7584898,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2
7584899,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,1,4,2,4,3,1,3,1
7584901,1,1,4,2,1,4,1,1,3.0,1,1,1,2,2,1,2,2,1,3,3,1,1,4,1
7584902,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,4,4,3,3,1,4,2
7584904,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,3,2,2,2,1,1,1
7584905,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,3,1,2,2,2,3,2
7584906,1,1,4,1,1,4,1,1,4.0,1,1,1,2,2,2,2,2,4,1,1,1,1,2,3
7584908,1,1,4,1,1,4,1,1,3.0,1,1,1,2,2,2,2,2,2,1,1,2,1,4,1
7584910,1,1,2,2,1,6,1,1,2.0,1,1,1,1,2,2,2,2,2,3,4,4,4,2,4
7584911,1,1,2,2,1,4,3,1,2.0,1,1,1,2,2,2,2,2,2,3,3,4,4,1,2
7584912,1,1,2,2,1,4,3,1,2.0,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1
